n,seconds
355,0.0118407800
356,0.0117441440
357,0.0115026610
358,0.0113845530
359,0.0126354360
360,0.0147580170
361,0.0119409850
362,0.0117982830
363,0.0119030600
364,0.0119477500
365,0.0125901450
366,0.0126005490
367,0.0125479220
368,0.0125692640
369,0.0129736470
370,0.0144220450
371,0.0159897030
372,0.0126643950
373,0.0142569980
374,0.0124438390
375,0.0129088550
376,0.0138222280
377,0.0126842090
378,0.0259213180
379,0.0251985010
380,0.0214481040
381,0.0135230640
382,0.0131608710
383,0.0132192030
384,0.0137293220
385,0.0144185080
386,0.0147939610
387,0.0132739890
388,0.0137619120
389,0.0134023350
390,0.0141331220
391,0.0143053990
392,0.0161694010
393,0.0149558900
394,0.0143027920
395,0.0146924790
396,0.0144136130
397,0.0144762600
398,0.0146309030
399,0.0154558150
400,0.0145716630
401,0.0164090860
402,0.0148502890
403,0.0149209450
404,0.0164252460
405,0.0170659220
406,0.0153440620
407,0.0151083860
408,0.0155197070
409,0.0159993300
410,0.0176736650
411,0.0189893330
412,0.0166327940
413,0.0156118050
414,0.0160027230
415,0.0156313020
416,0.0161895100
417,0.0155172300
418,0.0175170360
419,0.0175928290
420,0.0158768520
421,0.0226305180
422,0.0161269490
423,0.0211565270
424,0.0167179640
425,0.0180136740
426,0.0159110690
427,0.0175761820
428,0.0156665850
429,0.0178655450
430,0.0171654120
431,0.0172977890
432,0.0171286970
433,0.0181524850
434,0.0192932410
435,0.0178774080
436,0.0173201000
437,0.0181581070
438,0.0193308290
439,0.0172393270
440,0.0190106880
441,0.0188356470
442,0.0196592860
443,0.0254714030
444,0.0175638600
445,0.0198259150
446,0.0188771000
447,0.0182557500
448,0.0183343410
449,0.0184277490
450,0.0191649620
451,0.0183153220
452,0.0197163100
453,0.0199528380
454,0.0220826360
455,0.0205575910
456,0.0186878310
457,0.0197510540
458,0.0257298240
459,0.0190888610
460,0.0198228490
461,0.0190403890
462,0.0211607340
463,0.0209139740
464,0.0217261680
465,0.0201876620
466,0.0201883280
467,0.0229468610
468,0.0204855560
469,0.0215001870
470,0.0232870110
471,0.0196945300
472,0.0297632160
473,0.0235246300
474,0.0228194830
475,0.0241094450
476,0.0209133880
477,0.0220801160
478,0.0214656630
479,0.0211608570
480,0.0214596450
481,0.0216559260
482,0.0256669310
483,0.0225284100
484,0.0259689920
485,0.0218035130
486,0.0207780940
487,0.0222181990
488,0.0325545380
489,0.0243336890
490,0.0229200720
491,0.0238745170
492,0.0209882700
493,0.0215378060
494,0.0230123620
495,0.0242288590
496,0.0224504330
497,0.0226962100
498,0.0257147480
499,0.0240786380
500,0.0222287860
501,0.0242446370
502,0.0225193790
503,0.0229494640
504,0.0254587790
505,0.0244270090
506,0.0223016670
507,0.0283744950
508,0.0234234080
509,0.0240321590
510,0.0332218870
511,0.0238924350
512,0.0298994610
513,0.0236833410
514,0.0248838830
515,0.0256329820
516,0.0238713220
517,0.0245786860
518,0.0240252150
519,0.0289395590
520,0.0242224070
521,0.0244962260
522,0.0280821410
523,0.0255950080
524,0.0277533910
525,0.0248872050
526,0.0250275200
527,0.0262417210
528,0.0254629490
529,0.0259768510
530,0.0253947870
531,0.0265791550
532,0.0301355510
533,0.0291969400
534,0.0267802830
535,0.0267770100
536,0.0269918610
537,0.0292989800
538,0.0275436540
539,0.0276001140
540,0.0290157630
541,0.0261746880
542,0.0275135230
543,0.0274427730
544,0.0331303390
545,0.0282404670
546,0.0341922090
547,0.0274585660
548,0.0280571370
549,0.0283002500
550,0.0278672650
551,0.0277266260
552,0.0278429060
553,0.0270951150
554,0.0270118110
555,0.0281336980
556,0.0293504900
557,0.0282914260
558,0.0285873480
559,0.0410257200
560,0.0393412290
561,0.0290695390
562,0.0395897690
563,0.0309065870
564,0.0317892470
565,0.0348032650
566,0.0308275940
567,0.0317896610
568,0.0304967090
569,0.0296892820
570,0.0313063910
571,0.0307122240
572,0.0302159110
573,0.0309268820
574,0.0296498830
575,0.0305523530
576,0.0339098630
577,0.0340201450
578,0.0315818340
579,0.0300934700
580,0.0300421280
581,0.0313640520
582,0.0312558650
583,0.0414447860
584,0.0325454610
585,0.0314283330
586,0.0320844240
587,0.0317944750
588,0.0344096540
589,0.0316060460
590,0.0317622050
591,0.0344851750
592,0.0332514540
593,0.0345319770
594,0.0324327610
595,0.0325274570
596,0.0325086810
597,0.0387898240
598,0.0368035860
599,0.0334691230
600,0.0425391710
601,0.0364479840
602,0.0363920720
603,0.0330866410
604,0.0341586810
605,0.0320782220
606,0.0368190460
607,0.0343731190
608,0.0338310190
609,0.0337637410
610,0.0365207380
611,0.0369996700
612,0.0351482400
613,0.0346184200
614,0.0355194960
615,0.0389782030
616,0.0493610940
617,0.0378603910
618,0.0493813130
619,0.0341719910
620,0.0351355110
621,0.0360983930
622,0.0364035300
623,0.0360228450
624,0.0358803210
625,0.0378803280
626,0.0371893580
627,0.0350005090
628,0.0368084140
629,0.0363751220
630,0.0366386920
631,0.0373653220
632,0.0389529880
633,0.0462051680
634,0.0367224810
635,0.0414357790
636,0.0452103470
637,0.0379001760
638,0.0383651710
639,0.0498154300
640,0.0371388660
641,0.0383050000
642,0.0449717600
643,0.0406580000
644,0.0400637460
645,0.0394861330
646,0.0395772370
647,0.0479001180
648,0.0393492880
649,0.0482522330
650,0.0395873680
651,0.0410765900
652,0.0459952760
653,0.0427499030
654,0.0389886920
655,0.0398040290
656,0.0412272740
657,0.0395295600
658,0.0406667340
659,0.0402437830
660,0.0405896750
661,0.0458333280
662,0.0437127830
663,0.0398821130
664,0.0423302550
665,0.0427136600
666,0.0504810560
667,0.0415672450
668,0.0472633500
669,0.0464123550
670,0.0420934650
671,0.0462594520
672,0.0511443910
673,0.0466384760
674,0.0466464630
675,0.0446828580
676,0.0427723720
677,0.0488547090
678,0.0442263790
679,0.0444742400
680,0.0420051070
681,0.0424002500
682,0.0419418180
683,0.0532404630
684,0.0419602670
685,0.0434469930
686,0.0432995360
687,0.0465159750
688,0.0446195940
689,0.0460154040
690,0.0448946710
691,0.0439318120
692,0.0475040340
693,0.0437337310
694,0.0442517950
695,0.0456375420
696,0.0460269010
697,0.0455339210
698,0.0445592600
699,0.0439709640
700,0.0443951840
701,0.0483436400
702,0.0446421700
703,0.0464994390
704,0.0451923910
705,0.0500169050
706,0.0462608160
707,0.0446944930
708,0.0455582350
709,0.0465903530
710,0.0466027840
711,0.0560634740
712,0.0484752670
713,0.0487339610
714,0.0462076470
715,0.0468887020
716,0.0467742770
717,0.0478859290
718,0.0495983190
719,0.0522581890
720,0.0467271950
721,0.0513099020
722,0.0504578670
723,0.0480785950
724,0.0491774240
725,0.0484656570
726,0.0492779400
727,0.0529804620
728,0.0483879520
729,0.0491558540
730,0.0575898220
731,0.0552323870
732,0.0494158830
733,0.0550919060
734,0.0492506490
735,0.0514465950
736,0.0504561630
737,0.0505742570
738,0.0488781340
739,0.0497855120
740,0.0492462610
741,0.0525393950
742,0.0498280610
743,0.0518870470
744,0.0529713410
745,0.0510907220
746,0.0607430980
747,0.0520530890
748,0.0525005330
749,0.0539295190
750,0.0518668130
751,0.0529030860
752,0.0563503740
753,0.0550140710
754,0.0530297390
755,0.0542559470
756,0.0545543890
757,0.0638519490
758,0.0514921020
759,0.0521388700
760,0.0535628800
761,0.0528847210
762,0.0535375360
763,0.0568900450
764,0.0545016000
765,0.0530821270
766,0.0536097930
767,0.0567332800
768,0.0564266040
769,0.0618837360
770,0.0565419810
771,0.0555648680
772,0.0667425640
773,0.0609287690
774,0.0554446740
775,0.0601149330
776,0.0609264400
777,0.0566041140
778,0.0577915630
779,0.0540053800
780,0.0557470770
781,0.0557543700
782,0.0576211090
783,0.0587821550
784,0.0583859090
785,0.0602185990
786,0.0661247500
787,0.0578909920
788,0.0567130780
789,0.0559644830
790,0.0571979090
791,0.0581973040
792,0.0596289520
793,0.0575228140
794,0.0601088180
795,0.0570873490
796,0.0580951920
797,0.0569817320
798,0.0606736440
799,0.0607550430
800,0.0591573390
801,0.0612052710
802,0.0589434470
803,0.0599712810
804,0.0597880430
805,0.0592503170
806,0.0595204990
807,0.0584032610
808,0.0683229510
809,0.0596990400
810,0.0653269720
811,0.0673917080
812,0.0611369250
813,0.0612939200
814,0.0626148230
815,0.0653741700
816,0.0668229190
817,0.0667486950
818,0.0668232880
819,0.0615516230
820,0.0626581590
821,0.0612923020
822,0.0625253050
823,0.1170671000
824,0.0697359420
825,0.0640203080
826,0.0643568590
827,0.0630423620
828,0.0633334670
829,0.0646571220
830,0.0698889330
831,0.0637310150
832,0.0667511030
833,0.0635716360
834,0.0722626790
835,0.0644734820
836,0.0640411030
837,0.0701298290
838,0.0660525740
839,0.0661448420
840,0.0695204370
841,0.0701890440
842,0.0641412370
843,0.0655172770
844,0.0657276370
845,0.0742968250
846,0.0669218950
847,0.0671713880
848,0.0674975860
849,0.0660956260
850,0.0768390340
851,0.0759536750
852,0.0695479200
853,0.0730260280
854,0.0687582810
855,0.0725375520
856,0.0701565510
857,0.0676785290
858,0.0682689410
859,0.0677659560
860,0.0717588820
861,0.0680428780
862,0.0739011000
863,0.0690689350
864,0.0695127680
865,0.0678863890
866,0.0677180850
867,0.0715907390
868,0.0714283640
869,0.0734727420
870,0.0691067080
871,0.0689669910
872,0.0679046860
873,0.0700189300
874,0.0704857020
875,0.0695154780
876,0.0773094720
877,0.0707569130
878,0.0717262300
879,0.0709619920
880,0.0710435690
881,0.0735506420
