n,seconds
1,0.0000166610
2,0.0000075800
3,0.0000144370
4,0.0000331970
5,0.0000733710
6,0.0001614060
7,0.0004007050
8,0.0008358290
9,0.0017813490
10,0.0040793720
11,0.0095587630
12,0.0171885100
13,0.0362742220
14,0.0771688010
15,0.1341584910
16,0.2790391930
17,0.5606944660
18,1.2060045220
19,2.4836578040
20,5.1889309960
21,10.7571894100
22,24.7332917450
